Codigo;Nome;Descrição;unidade_medida;estoque_atual;estoque_minimo
303;BUCHA MENOR EIXO DA RODA LF-480 (021102590);USINADOS;UN;0;0
307;CAMA DO IMÃ LF-200/250;CONJUNTOS E SUBCONJUNTOS;UN;0;0
309;CHAPA FIXAÇÃO DA CARENAGEM LF-200/220/250(021104401);CHAPAS;UN;0;0
319;FIO COM PINO/TERMINAL E CAPA (ESTEIRAS);CONJUNTOS E SUBCONJUNTOS;UN;0;0
324;BAGUETE DO ESTICADOR;CHAPAS;UN;0;0
689;BARRA GRANDE DA PUXADA (021102519);CONJUNTOS E SUBCONJUNTOS;UN;0;0
691;BARRA RETA PUXADA BAIXA (021102518);CONJUNTOS E SUBCONJUNTOS;UN;0;0
893;ESTRIBO ANTIGO (021102516);CONJUNTOS E SUBCONJUNTOS;UN;0;0
921;BARRA CURVA P/ TRICEPS (021102520);CONJUNTOS E SUBCONJUNTOS;UN;0;0
923;BARRA TRIANGULO (021104273);CONJUNTOS E SUBCONJUNTOS;UN;0;0
928;BARRA P/ REMADA DO FUNCIONAL (021102587/021100497);CONJUNTOS E SUBCONJUNTOS;UN;0;0
1082;SUPORTE DA RODINHA (021103081);CHAPAS;UN;0;0
1082;SUPORTE DA RODINHA (021103081);CHAPAS;UN;0;0
1086;"TUBO RED. DOB. Ø1""x#2,00 250mm (021100267)";TUBOS;UN;0;0
1089;TUBO DO BRAÇO (021101120);TUBOS;UN;0;0
1091;TRAVA SUPERIOR DAS TORRES (021102288);TUBOS;UN;0;0
1092;COLUNA DA PUXADA 2X1 LFR (021105186);TUBOS;UN;0;0
1093;TUBO CURVADO DA TORRE S/ FURO 2440mm (021106608);TUBOS;UN;0;0
1094;BRAÇO (021101232);TUBOS;UN;0;0
1097;BRAÇO (021100312);TUBOS;UN;0;0
1100;CORPO (021102311);TUBOS;UN;0;0
1101;TORRE DO ENCOSTO (021103156);TUBOS;UN;0;0
1102;TUBO DE LIGAÇÃO (021102328);TUBOS;UN;0;0
1103;TUBO DO ENCOSTO DO CARRINHO (021102329);TUBOS;UN;0;0
1104;"TUBO RED. DOB. Ø1""x#2,00 470mm (021102422)";TUBOS;UN;0;0
1105;"TUBO RED. DOB. Ø1""x#2,00 365mm (021100121)";TUBOS;UN;0;0
1106;"TUBO RED. DOB. Ø1""x#2,00 350mm (021101989)";TUBOS;UN;0;0
1107;"TUBO RED. DOB. Ø1""x#2,00 535mm";TUBOS;UN;0;0
1108;"TUBO RED. DOB. Ø1""x#2,00 440mm (021104192)";TUBOS;UN;0;0
1109;MÃO FRANCESA TORRE DO ENCOSTO (021101582);TUBOS;UN;0;0
1116;BRAÇO DO CONTRA PESO (021100731);TUBOS;UN;0;0
1118;"TUBO DE LIGAÇÃO DA BARRA GUIADA FURO Ø2"" (021102327)";TUBOS;UN;0;0
1122;ALÇA DA REMADA SENT. OPTIMUS (021105725);TUBOS;UN;0;0
1123;"TUBO RED. DOB. Ø1""x#3,00 1380mm (021101985)";TUBOS;UN;0;0
1126;BRAÇO DO TRÍCEPS PRÓ/LFR (021101329);TUBOS;UN;0;0
1130;TUBO DA PERNA ESQUERDA (021104100);TUBOS;UN;0;0
1131;TUBO DA PERNA C/ BOCA DE LOBO DIREITO (021104101);TUBOS;UN;0;0
1132;TUBO DE APOIO DA TORRE (021101164);TUBOS;UN;0;0
1136;TUBO DO APOIO DO PEITO (021100363);TUBOS;UN;0;0
1138;TUBO INFERIOR (021101221);TUBOS;UN;0;0
1139;TUBO SUPERIOR (021101970);TUBOS;UN;0;0
1141;HASTE DE APOIO (021100356);TUBOS;UN;0;0
1142;BRAÇO DO APOLETE LFR (021104040);TUBOS;UN;0;0
1143;TUBO DE APOIO DO OMBRO (021101108);TUBOS;UN;0;0
1148;ARCO DO CAVALINHO (021100348);TUBOS;UN;0;0
1150;TUBO DA MANETE (021101225);TUBOS;UN;0;0
1151;"TUBO RED. DOB. Ø1""x#3,00 880mm";TUBOS;UN;0;0
1154;"TUBO RED. DOB. Ø1""x#2,00 400mm(021101782)";TUBOS;UN;0;0
1157;"TUBO RED. DOB. Ø1""x#2,00 810mm (021100161)";TUBOS;UN;0;0
1196;FERRO CHATO DA BUCHA GUIA (021102905);CHAPAS;UN;0;0
1200;TUBO DAS PEGADAS 15MM (021102513);USINADOS;UN;0;0
1202;TUBO DA BASE DE PESO PRÓ (021104150);TUBOS;UN;0;0
1203;"CHAPA SUPERIOR DA TORRE PRÓ #1/4"" (021104151)";CHAPAS;UN;0;0
1208;FERRO CHATO DO GUIDÃO 83MM (021103058);CHAPAS;UN;0;0
1210;"ORELHA DO ENCAIXE LF-X 160MM #1/8"" (021104700)";ORELHAS;UN;0;0
1211;CONDUITE 170MM (021101576);TUBOS;UN;0;0
1219;"ALÇA DO SUPINO C/ CORTE Ø1""x#2,00 300mm (021101966)";TUBOS;UN;0;0
1222;RODA DO ELIPTICO/BIC.VERT.HORIZ. MONTADA;CONJUNTOS E SUBCONJUNTOS;UN;0;0
1224;FERRO CHATO DE ALUMINIO DA RODA;CHAPAS;UN;0;0
1225;EIXO DA RODA LF-200 (021101407);USINADOS;UN;0;0
1227;EIXO DA RODA LF 480 (021101406);USINADOS;UN;0;0
1298;TRAVA CABO COM TREFILADO;CONJUNTOS E SUBCONJUNTOS;UN;0;0
1316;SUPORTE DO CABO DOBRADO MENOR #1/8 (021104540);CHAPAS;UN;0;0
1366;CANTONEIRA DA EXCÊNTRICA;TUBOS;UN;0;0
1388;SUPORTE DA BASE LC 40/50/70/100;CONJUNTOS E SUBCONJUNTOS;UN;0;0
1391;TUBO DA BASE DE PESO LFS (021104502);TUBOS;UN;0;0
1392;CH. SUPERIOR DA TORRE IRIDIUM #1/4 (021104503);CHAPAS;UN;0;0
1410;TUBO DE INOX DO TUBO DO LEG - 1491MM (POLIR);CONJUNTOS E SUBCONJUNTOS;UN;0;0
1412;SUPORTE DA BASE LC 30;CONJUNTOS E SUBCONJUNTOS;UN;0;0
1586;"APOIO DO ASSENTO #3/16"" (021101067)";CHAPAS;UN;0;0
1587;"APOIO PEITO REMADA CONV. #3/16"" (021100219)";CHAPAS;UN;0;0
1589;"ORELHA 100MM CRUZETA #1/4"" (021100362)";ORELHAS;UN;0;0
1590;"BALANCIN DO ROLETE NOVO #1/2"" (021104515)";CHAPAS;UN;0;0
1591;"ORELHA 120MM #1/4"" (021102923)";ORELHAS;UN;0;0
1592;"CHAPA DA BARRA ARTICULAÇÃO DO BRAÇO #3/16"" (021101648)";CHAPAS;UN;0;0
1593;"ORELHA 150MM #1/4"" (021101332)";CHAPAS;UN;0;0
1593;"ORELHA 150MM #1/4"" (021101332)";CHAPAS;UN;0;0
1595;"ORELHA 180MM #1/4"" (021101333)";ORELHAS;UN;0;0
1597;"ORELHA 200MM #1/4"" (021101684)";ORELHAS;UN;0;0
1598;"ORELHA 40MM #1/4"" (021102514)";ORELHAS;UN;0;0
1600;"ORELHA 42MM #1/8"" (021102379)";ORELHAS;UN;0;0
1602;"ORELHA 60MM #1/4"" (021101699)";ORELHAS;UN;0;0
1603;"BATENTE DO BRAÇO #3/8"" (021104312)";CHAPAS;UN;0;0
1605;"CAPA DE ROLDANA #1/8"" (021100344)";CHAPAS;UN;0;0
1607;"ORELHA 70MM DO CAVALINHO #1/4"" (021100353)";ORELHAS;UN;0;0
1608;"ORELHA 80MM #1/4"" (021104041)";ORELHAS;UN;0;0
1609;"CAPA MAIOR DE ROLDANA #1/8"" (021100590)";CHAPAS;UN;0;0
1611;"CAPA MENOR DE ROLDANA #1/8"" (021100532)";CHAPAS;UN;0;0
1613;"CH. BANCO SUP. INCL. 100X150X220 #3/16"" (021100436)";CHAPAS;UN;0;0
1616;"ORELHA DA PANTURRILHA #3/16"" (021104138)";ORELHAS;UN;0;0
1618;"ORELHA DE ARTIC. DO BANCO #1/4"" (021103755)";ORELHAS;UN;0;0
1622;"CH. SUP. DA CAMA DO IMA 40MM #1/4"" (021104418)";CHAPAS;UN;0;0
1623;"CHAPA 1/4'' DA EXCÊNTRICA #1/4"" (021100006)";CHAPAS;UN;0;0
1628;"ORELHA DO ADUT./ABD. CONJ. LF-X #1/4"" (021104096)";ORELHAS;UN;0;0
1636;"CHAPA APOIO DE OMBRO #1/8"" (021102488)";CHAPAS;UN;0;0
1639;"ORELHA DO SUP. DA BARRA #1/4"" (021104045)";ORELHAS;UN;0;0
1641;"CHAPA BASE DO CARRINHO #1/4"" (021102333)";CHAPAS;UN;0;0
1643;"ORELHA EXTENSORA #1/2"" (021102184)";ORELHAS;UN;0;0
1644;"ORELHA SUPORTE DO MACAQUINHO #3/16"" (021100266)";ORELHAS;UN;0;0
1649;"CHAPA CONEXÃO #1/4"" (021101174)";CHAPAS;UN;0;0
1650;"CHAPA DA ARTICULAÇÃO #1/4"" (021104103)";CHAPAS;UN;0;0
1656;"CHAPA DA PEGADA #1/4"" (021104063)";CHAPAS;UN;0;0
1658;"CHAPA DA TRAVA DO CROSSMITH #3/16"" (021104479)";CHAPAS;UN;0;0
1659;"CHAPA DA TRAVA DO CROSSMITH S/ FURO #3/16"" (021104590)";CHAPAS;UN;0;0
1660;"CHAPA DA TRAVESSA DO CROSSMITH #3/16"" (021104480)";CHAPAS;UN;0;0
1661;"CHAPA DAS ROLDANAS #1/4"" (021104035)";CHAPAS;UN;0;0
1662;"CHAPA DAS ROLDANAS #3/16"" (021101151)";CHAPAS;UN;0;0
1663;"CHAPA DE ACOP. SUP. PERNA #3/16"" (021102930)";CHAPAS;UN;0;0
1665;"CHAPA DE APOIO DA PEGADA #3/16"" (021104053)";CHAPAS;UN;0;0
1667;"CHAPA DE ARTICULAÇÃO #1/4"" (021103490)";CHAPAS;UN;0;0
1668;"CHAPA DE ARTICULAÇÃO DA BASE #1/4"" (021102548)";CHAPAS;UN;0;0
1670;"CHAPA DE CONEXÃO #1/4"" (021103216)";CHAPAS;UN;0;0
1672;"CHAPA DE FIX. GUIA DO CARRINHO #1/4"" (021104570)";CHAPAS;UN;0;0
1673;"CHAPA DE FIXAÇÃO DA ROLDANA #3/16"" (021101251)";CHAPAS;UN;0;0
1674;"CHAPA DE FIXAÇÃO DO BRAÇO #5/16"" (021101254)";CHAPAS;UN;0;0
1675;"CHAPA DE FIXAÇÃO DO BRAÇO #5/16"" (021102474)";CHAPAS;UN;0;0
1678;"CHAPA DE REG. DA EXTENSORA #1/4"" (021102104)";CHAPAS;UN;0;0
1679;"CHAPA DE REG. DA EXTENSORA #1/4"" (021102105)";CHAPAS;UN;0;0
1687;"CHAPA DO ASSENTO 300X300 #3/16"" (021101140)";CHAPAS;UN;0;0
1687;"CHAPA DO ASSENTO 300X300 #3/16"" (021101140)";CHAPAS;UN;0;0
1688;"CHAPA DO BATENTE #3/8"" (021104105)";CHAPAS;UN;0;0
1689;"MÃO FRANCESA 135MM #3/16"" (021100128)";MÃO FRANCESA;UN;0;0
1693;"MÃO FRANCESA ADUTOR #3/16"" (021101149)";MÃO FRANCESA;UN;0;0
1694;"MÃO FRANCESA ADUTOR/ABDUTOR #3/16"" (021101444)";MÃO FRANCESA;UN;0;0
1697;"MÃO FRANCESA CONDUITE #3/16"" (021100415)";MÃO FRANCESA;UN;0;0
1698;"MÃO FRANCESA DA BASE #3/16"" (021100273)";MÃO FRANCESA;UN;0;0
1699;"MÃO FRANCESA DA CH. ASSENTO #3/16"" (021101419)";MÃO FRANCESA;UN;0;0
1701;"MÃO FRANCESA DA PANTURRILHA #1/4"" (021104343)";MÃO FRANCESA;UN;0;0
1702;"MÃO FRANCESA DA PEGADA #3/16"" (021103466)";MÃO FRANCESA;UN;0;0
1703;"MÃO FRANCESA DA PERNA #1/4"" (021104106)";MÃO FRANCESA;UN;0;0
1704;"MÃO FRANCESA DA ROLDANA #1/4"" (021102560)";MÃO FRANCESA;UN;0;0
1705;"MÃO FRANCESA DA ROLDANA #1/4"" (021104034)";MÃO FRANCESA;UN;0;0
1707;"MÃO FRANCESA DA TORRE #3/16"" (021100082)";MÃO FRANCESA;UN;0;0
1710;"MÃO FRANCESA DO BRAÇO #3/16"" (021101231)";MÃO FRANCESA;UN;0;0
1712;"MÃO FRANCESA DO CONDUITE #3/16"" (021101425)";MÃO FRANCESA;UN;0;0
1716;"MÃO FRANCESA DO ROLETE #3/16"" (021102797)";MÃO FRANCESA;UN;0;0
1721;"MÃO FRANCESA PARAL. ABDOMINAL #3/16"" (021104037)";MÃO FRANCESA;UN;0;0
1723;"MÃO FRANCESA REMADA 150MM #3/16"" (021101214)";MÃO FRANCESA;UN;0;0
1724;"MÃO FRANCESA SEM FURO #1/4"" (021104179)";MÃO FRANCESA;UN;0;0
1725;"MÃO FRANCESA TORRE ASSENTO #3/16"" (021101147)";MÃO FRANCESA;UN;0;0
1726;"MÃO FRANCESA TORRE FLEXORA #3/16"" (021101148)";MÃO FRANCESA;UN;0;0
1727;"CHAPA DO BATENTE DA EXCÊNTRICA #1/4"" (021103491)";CHAPAS;UN;0;0
1734;"CHAPA DO ENC. 150X250X350 #3/16"" (021101138)";CHAPAS;UN;0;0
1736;"CHAPA DO FREIO #3/8"" (021100569)";CHAPAS;UN;0;0
1740;"CHAPA DO MANCAL DO BRAÇO#1/4"" (021104326)";CHAPAS;UN;0;0
1741;"CHAPA DO MANCAL SUPERIOR #1/4"" (021104635)";CHAPAS;UN;0;0
1747;"CHAPA DO PÉ DE APOIO #1/4"" (021104520)";CHAPAS;UN;0;0
1748;"CHAPA DO PISANTE #3/16"" (021101294)";CHAPAS;UN;0;0
1748;"CHAPA DO PISANTE #3/16"" (021101294)";CHAPAS;UN;0;0
1754;"CHAPA DO SUPORTE APOIO DOS PÉS #1/4"" (021104374)";CHAPAS;UN;0;0
1755;"CHAPA ENCOSTO GLÚTEO #3/16"" (021100474)";CHAPAS;UN;0;0
1764;CHAPA INF. CROSS OVER LFX #3/16'' (021104371);CHAPAS;UN;0;0
1765;"CHAPA INF. DO CROSS OVER SMART #3/16"" (021104558)";CHAPAS;UN;0;0
1767;"CHAPA INF. DO SUPORTE #1/4"" (021104198)";CHAPAS;UN;0;0
1768;"CHAPA INFERIOR CARRINHO #3/8"" (021101244)";CHAPAS;UN;0;0
1769;"CHAPA INFERIOR DA FLAUTA #3/16"" (021102090)";CHAPAS;UN;0;0
1778;"CHAPA LATERAL DO CARRINHO #3/16"" (021102093)";CHAPAS;UN;0;0
1782;"CHAPA MACAQUINHO CROSS OVER #1/8"" (021102071)";CHAPAS;UN;0;0
1785;"CHAPA MORCEGO #3/16"" (021103223)";CHAPAS;UN;0;0
1786;"CHAPA NIKE #1/4"" (021103507)";CHAPAS;UN;0;0
1790;"CH. DIREITA SUP. DO CROSSMITH C/ FURO #3/16"" (021104481)";CHAPAS;UN;0;0
1792;"CHAPA SUP. DO SUPORTE EMBORRACHADA #1/4"" (021104197)";CHAPAS;UN;0;0
1794;"CHAPA SUP.CROSS OVER LFX #3/16"" (021104372)";CHAPAS;UN;0;0
1797;"CHAPA SUPERIOR DA FLAUTA #3/16"" (021102091)";CHAPAS;UN;0;0
1800;"CHAPA SUPERIOR DO CROSS OVER #3/16"" (021103414)";CHAPAS;UN;0;0
1801;"CHAPA ESQUERDA SUPERIOR DO CROSSMITH #3/16"" (021104478)";CHAPAS;UN;0;0
1802;"CHAPA SUPERIOR DO SMITH #3/16"" (021100022)";CHAPAS;UN;0;0
1806;"CHAPA SUPERIOR SMITH #3/16"" (021101173)";CHAPAS;UN;0;0
1808;"CHAPA SUPORTE DAS ROLDANA #3/16"" (021101152)";CHAPAS;UN;0;0
1817;"CHAPA TRAVA BARRA GUIADA #3/16"" (021101180)";CHAPAS;UN;0;0
1818;"CHAPA TRAVA DA BASE #1/4"" (021104641)";CHAPAS;UN;0;0
1819;"CHAPA TRAVA DO ROLETE #3/16"" (021104629)";CHAPAS;UN;0;0
1820;"CHAPA TRAVESSA ALTA #1/4"" (021100155)";CHAPAS;UN;0;0
1821;"CHAPA TRIÂNGULO DA PUXADA #1/4"" (021104177)";CHAPAS;UN;0;0
1822;"CHAPAS DO ASS. 150X200 #3/16"" (021100033)";CHAPAS;UN;0;0
1824;"COMP. DA CHAPA DO FREIO #1/4"" (021102345)";CHAPAS;UN;0;0
1825;"COMPLEMENTO CHAPA DO FREIO #1/4"" (021101264)";CHAPAS;UN;0;0
1827;"DISCO EXCÊNTRICO #3/16"" (021101191)";CHAPAS;UN;0;0
1828;"DISCO MENOR #3/16"" (021100538)";CHAPAS;UN;0;0
1832;"GARFO DA EXTENSORA #1/4"" (021102378)";CHAPAS;UN;0;0
1834;"CHAPA JACARÉ #1/4"" (021101297)";CHAPAS;UN;0;0
1835;"CH. OITO DA ROLDANA #3/16"" (021104311)";CHAPAS;UN;0;0
1848;"CHAPA DE ACOP. SUP. PERNA #1/4"" (021102937)";CHAPAS;UN;0;0
1850;"SUPORTE APOIO PERNA #1/4"" (021102938)";CHAPAS;UN;0;0
1855;"SUPORTE DA BUCHA #1/4"" (021103756)";CHAPAS;UN;0;0
1856;"SUPORTE DA ROLDANA #3/16"" (021104357)";CHAPAS;UN;0;0
1857;"SUPORTE DA ROLDANA GRAVITON #3/16"" (021104378)";CHAPAS;UN;0;0
1868;"TOP DO ROLETE 25 #1/8"" (021103770)";CHAPAS;UN;0;0
1870;"TRAVA BARRA GUIADA #1/4"" (021101176)";CHAPAS;UN;0;0
1871;"TRAVA BARRA TRIÂNGULO #3/16"" (021102635)";CHAPAS;UN;0;0
1873;"CH. TRAVA DA ALAVANCA #1/4"" (021104331)";CHAPAS;UN;0;0
1874;"TRAVA DA CHAPA DO MANCAL #1/4"" (021104636)";CHAPAS;UN;0;0
1875;"TRAVA DO BRAÇO #1/4"" (021104202)";CHAPAS;UN;0;0
1876;"TRAVA DO FREIO #1/4"" (021104001)";CHAPAS;UN;0;0
1879;"TRAVA DO SUPORTE HALTERES #3/16"" (021104046)";CHAPAS;UN;0;0
1880;"V DA BARRA TRIANGULO #3/16"" (021102636)";CHAPAS;UN;0;0
1892;TAMPA PARA TUBO 2'' #2,0 (021101196);CHAPAS;UN;0;0
1894;TAMPA PARA TUBO 4'' #2,00 (021101194);CHAPAS;UN;0;0
1896;COLUNA TRASEIRA LC50/LC70 (ALUMÍNIO) (021105001);CHAPAS;UN;0;0
1897;COLUNA DIANTEIRA LC 50 (ALUMÍNIO) (021108822);CHAPAS;UN;0;0
1898;COLUNA DIANTEIRA LC 30 (ALUMÍNIO) (021105003);CHAPAS;UN;0;0
1899;COLUNA TRASEIRA LC 30 (ALUMÍNIO) (021105002);CHAPAS;UN;0;0
1912;SUPORTE DE PAREDE (LC 20/30/40/50/70/100);CONJUNTOS E SUBCONJUNTOS;UN;0;0
1930;CHAPA ASSENTO PADRÃO #MDF 15MM (021104875);TAPEÇARIA;UN;0;0
2077;CONTRA PESO CROSSMITH LFS;CONJUNTOS E SUBCONJUNTOS;UN;0;0
2148;GUIA DE PESO INOX 2035 MM;TUBOS;UN;0;0
2149;GUIA DE PESO INOX 2100 MM ;TUBOS;UN;0;0
2152;GUIA DE PESO INOX 1260 MM;TUBOS;UN;0;0
2157;RÉGUA PESO DE FERRO COM REGULAGEM (021105188);USINADOS;UN;0;0
2159;CORPO BANCO FIXO GII (021105192);TUBOS;UN;0;0
2164;MÃO FRANCESA DO AGACHAMENTO ESQUERDA (021105202);TUBOS;UN;0;0
2165;ALAVANCA DO STOP (021101574);USINADOS;UN;0;0
2166;ALAVANCA DO STOP (021102261);USINADOS;UN;0;0
2167;BRAÇO DE REGULAGEM DO ROLETE 215MM (021102108);USINADOS;UN;0;0
2168;BUCHA 48 (021102669);USINADOS;UN;0;0
2169;BUCHA 293MM (021104107);USINADOS;UN;0;0
2170;BUCHA 32MM (021102224);USINADOS;UN;0;0
2171;BUCHA 365MM (021104108);USINADOS;UN;0;0
2174;BUCHA 44MM (021100361);USINADOS;UN;0;0
2175;BUCHA 48MM (021102248);USINADOS;UN;0;0
2176;BUCHA 60MM (021101263);USINADOS;UN;0;0
2176;BUCHA 60MM (021101263);USINADOS;UN;0;0
2177;BUCHA 68MM (021100195);USINADOS;UN;0;0
2177;BUCHA 68MM (021100195);USINADOS;UN;0;0
2178;BUCHA 80MM (021101590);USINADOS;UN;0;0
2178;BUCHA 80MM (021101590);USINADOS;UN;0;0
2180;BUCHA 88MM (021104615);USINADOS;UN;0;0
2180;BUCHA 88MM (021104615);USINADOS;UN;0;0
2181;BUCHA ACABAMENTO SMITH (021101318);USINADOS;UN;0;0
2182;BUCHA BARRA DAS ANILHAS (021100973);USINADOS;UN;0;0
2183;BUCHA BRAÇO ELEV. LAT. (021100782);USINADOS;UN;0;0
2185;BUCHA CONDUITE MÓVEL (021101387);USINADOS;UN;0;0
2186;BUCHA DA ALAVANCA DO STOP (021102259);USINADOS;UN;0;0
2187;BUCHA DA ALAVANCA PECK DECK (021100771);USINADOS;UN;0;0
2188;BUCHA 50MM (021101216);USINADOS;UN;0;0
2189;BUCHA DA ALÇA (021100851);USINADOS;UN;0;0
2191;BUCHA DA CAMA DO IMÃ (021103003);USINADOS;UN;0;0
2192;BUCHA DA CHAPA DA ARTIC. (021102376);USINADOS;UN;0;0
2193;BUCHA DA CHAPA DA EXCÊNTRICA (021101002);USINADOS;UN;0;0
2193;BUCHA DA CHAPA DA EXCÊNTRICA (021101002);USINADOS;UN;0;0
2196;BUCHA DA PERNA DO ADUTOR (021101289);USINADOS;UN;0;0
2200;BUCHA DE REGULAGEM 90MM (021102464);USINADOS;UN;0;0
2203;BUCHA DESENV.OMBRO 165MM (021101259);USINADOS;UN;0;0
2204;BUCHA DESENV.OMBRO 200MM (021101179);USINADOS;UN;0;0
2206;BUCHA DISCO EXCÊNTRICO (021101224);USINADOS;UN;0;0
2208;BUCHA DO ANILHEIRO (021102062);USINADOS;UN;0;0
2209;BUCHA DO BRAÇO ARTICULADO (021101144);USINADOS;UN;0;0
2210;BUCHA DO BRAÇO FLEX. SENT. (021102069);USINADOS;UN;0;0
2211;BUCHA DO CARRETEL (021102253) ;USINADOS;UN;0;0
2212;BUCHA DO DISCO DE REGULAGEM (021101379);USINADOS;UN;0;0
2214;BUCHA DO JACARÉ (021101296);USINADOS;UN;0;0
2215;BUCHA DO JOGO DE BARRAS AL (021103815);USINADOS;UN;0;0
2216;BUCHA DO MANETE (021100699);USINADOS;UN;0;0
2217;BUCHA DO MANIPLO (021102893);USINADOS;UN;0;0
2217;BUCHA DO MANIPLO (021102893);USINADOS;UN;0;0
2218;BUCHA DO SUPORTE DE ANILHAS (021101690);USINADOS;UN;0;0
2219;BUCHA DO SUPORTE DE BANCO (021100634);USINADOS;UN;0;0
2221;BUCHA DO VARÃO DO FREIO SPINNIG (021102584);USINADOS;UN;0;0
2222;BUCHA EIXO ARTIC. DO BRAÇO (021100875);USINADOS;UN;0;0
2223;BUCHA EXTENSORA 25MM (021102152);USINADOS;UN;0;0
2224;BUCHA EXTENSORA 90MM (021102260);USINADOS;UN;0;0
2225;BUCHA FLAUTA CONDUÍTE MÓVEL (021100691);USINADOS;UN;0;0
2226;BUCHA M10 (021101411);USINADOS;UN;0;0
2226;BUCHA M10 (021101411);USINADOS;UN;0;0
2229;BUCHA MENOR DA EXCÊNTRICA (021104497);USINADOS;UN;0;0
2231;BUCHA Ø25x70 (021102821);USINADOS;UN;0;0
2232;BUCHA P/ DOBRADIÇA (021101370);USINADOS;UN;0;0
2233;BUCHA PANTURRILHA BURRINHO (021101453);USINADOS;UN;0;0
2235;BUCHA PP. DO MACAQUINHO (021101269);USINADOS;UN;0;0
2238;CALÇO DA ROLDANA (021101265);USINADOS;UN;0;0
2239;CALÇO DE ROLDANA MAIOR (021100560);USINADOS;UN;0;0
2240;EIXO 135MM (021101384);USINADOS;UN;0;0
2240;EIXO 135MM (021101384);USINADOS;UN;0;0
2242;EIXO 230MM (021101948);USINADOS;UN;0;0
2245;EIXO 66MM (021103232);USINADOS;UN;0;0
2246;EIXO 68MM (021101311);USINADOS;UN;0;0
2248;EIXO 76MM (021100366);USINADOS;UN;0;0
2249;EIXO 81MM (021101448);USINADOS;UN;0;0
2250;EIXO 86MM (021101456);USINADOS;UN;0;0
2251;BUCHA 90MM (021101435);USINADOS;UN;0;0
2252;EIXO 90MM (ALM. I/II) (021102013);USINADOS;UN;0;0
2253;EIXO 90MM ROSCA DE UM LADO (021102155);USINADOS;UN;0;0
2257;EIXO BATENTE DISCO EXCÊNTRICO (ALM. I/II) (021101274);USINADOS;UN;0;0
2257;EIXO BATENTE DISCO EXCÊNTRICO (ALM. I/II) (021101274);USINADOS;UN;0;0
2258;EIXO TRAVA DO JACARÉ (021101414);USINADOS;UN;0;0
2260;EIXO DA DOBRADIÇA DA FLEXORA (021101366);USINADOS;UN;0;0
2262;EIXO DA EXCÊNTRICA P/ RAPID FIRE (021100066);USINADOS;UN;0;0
2265;EIXO DA PEGADA (021100497);USINADOS;UN;0;0
2266;EIXO DA PERNA DO ADUTOR (021101288);USINADOS;UN;0;0
2267;EIXO 240MM (021100390);USINADOS;UN;0;0
2267;EIXO 240MM (021100390);USINADOS;UN;0;0
2268;EIXO DA ROLDANA DO ABDUTOR (021101596);USINADOS;UN;0;0
2270;EIXO DE EXTENSORA 115MM (021102206);USINADOS;UN;0;0
2271;EIXO DE EXTENSORA 95MM (021102154);USINADOS;UN;0;0
2274;EIXO DE REGULAGEM AD.ABD.CONJ. (021101378);USINADOS;UN;0;0
2275;EIXO DO BATENTE SMART (021104588);USINADOS;UN;0;0
2276;EIXO DO BRAÇO (021100615);USINADOS;UN;0;0
2277;EIXO DO BRAÇO (021102240);USINADOS;UN;0;0
